idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,pitch,11160,1936,24444,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,scenario,10442,1191,18736,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,hypotheses,10022,2012,29621,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,what_if,7570,3293,49007,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,architecture,7236,867,14445,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,canvas,3668,2006,23100,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,models_options,3083,963,15997,0
idea-002,0,8db86333-49f5-47fb-bd32-5c9d66ff4965,empathy_map,646,1802,25032,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,pitch,11617,2051,25762,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,scenario,10881,1251,20455,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,hypotheses,10436,1235,17351,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,what_if,7485,3817,54752,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,architecture,7253,661,10406,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,canvas,3630,2082,84743,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,models_options,3026,1030,20261,0
idea-001,0,7a529e2f-b8ce-4e29-aaec-a9adbb0c49ea,empathy_map,616,1751,25129,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,pitch,11781,1484,16654,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,scenario,11073,905,13131,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,hypotheses,10644,1914,28185,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,what_if,8005,3454,48513,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,architecture,7660,801,12862,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,canvas,3951,2316,88844,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,models_options,3307,931,14698,0
idea-003,0,9c1962be-535b-4ed6-9067-13a9990a4379,empathy_map,746,1999,27205,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,pitch,11314,1653,19873,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,scenario,10550,1307,21185,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,hypotheses,10196,1069,17007,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,what_if,7629,3562,53351,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,architecture,7391,849,13843,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,canvas,3779,2269,29695,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,models_options,3165,881,14309,0
idea-005,0,346368ac-282c-442b-93a6-8f1a3e3eb50c,empathy_map,646,1867,22475,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,pitch,10969,1833,23568,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,scenario,10186,1435,23813,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,hypotheses,9778,1247,23782,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,what_if,7188,3464,52985,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,architecture,6923,755,11975,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,canvas,3498,2122,26776,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,models_options,2942,844,13203,0
idea-004,0,453b9640-f07d-4a93-8c7d-f01dafa7ef21,empathy_map,617,1667,23299,0
