idea_id,run_index,project_id,block,input_tokens,output_tokens,latency_ms,retries
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,pitch,8344,756,9387,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,scenario,7973,659,8498,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,hypotheses,7784,666,8736,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,what_if,5955,1897,20276,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,architecture,5709,392,6157,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,canvas,2657,2080,20450,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,models_options,1976,827,10097,0
idea-005,0,3deb003c-b500-4fa8-99db-ea1c0fd63bc8,empathy_map,588,742,9834,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,pitch,8603,734,8394,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,scenario,8280,444,6802,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,hypotheses,8047,560,7241,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,what_if,6181,2063,21766,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,architecture,5959,359,5542,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,canvas,2687,2234,21816,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,models_options,2012,812,10508,0
idea-002,0,fea12035-8bcf-4cb6-abd7-3135a50eeb17,empathy_map,588,793,9284,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,pitch,8098,690,8418,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,scenario,7748,487,6639,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,hypotheses,7467,1074,14082,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,what_if,5908,1709,18231,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,architecture,5665,251,4101,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,canvas,2789,1901,17427,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,models_options,2088,838,9935,0
idea-003,0,fa3316ad-9467-4dec-9e5d-088a3122813b,empathy_map,688,741,9557,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,pitch,8276,738,8960,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,scenario,7914,468,7088,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,hypotheses,7610,628,7382,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,what_if,5956,1795,19241,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,architecture,5716,247,4648,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,canvas,2707,2008,18609,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,models_options,2025,915,10444,0
idea-001,0,c3ac95f2-06f7-4279-8b4e-55d6da867b01,empathy_map,558,759,8952,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,pitch,8104,808,9030,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,scenario,7757,327,5157,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,hypotheses,7631,464,6934,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,what_if,5982,1766,19290,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,architecture,5752,238,3569,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,canvas,2613,2141,20983,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,models_options,1968,783,9324,0
idea-004,0,ebfe888d-6dd3-433a-a935-4b9175fbbf7e,empathy_map,559,741,9308,0
